"","Council","","2013","2014","2015","2016","2017","2019","2023"
"82","East Renfrewshire","Once a week","16.1","12.5","18.5","17.8","19.3","10.4","21.7"
"83","East Renfrewshire","Once a month","14","21","13.1","17.4","19.3","21.3","13.1"
"84","East Renfrewshire","Less often","9.3","9.9","7.4","8.5","9.4","14.3","9.5"
"85","East Renfrewshire","Not at all","24.9","27.7","22","20.9","24.1","28.9","16.6"
"86","East Renfrewshire","Don't know","-","-","-","-","0.3","0.7","-"
"87","East Renfrewshire","All","100","100","100","100","100","100","100"
"88","East Renfrewshire","Base","250","220","260","230","230","230","210"
"89","Edinburgh, City of","Every day / Several times a week","39.7","38.4","40.6","40.9","41.6","38.6","52.2"
"90","Edinburgh, City of","Once a week","15.9","14.3","18.3","15.2","15.1","15.6","13.3"
"91","Edinburgh, City of","Once a month","17","17.1","19.8","16.4","18.9","19","13.5"
"92","Edinburgh, City of","Less often","10.9","12.7","8.5","9.5","9.2","12.2","7.6"
"93","Edinburgh, City of","Not at all","16.5","17.5","12.6","18","15.3","14.6","13.2"
"94","Edinburgh, City of","Don't know","-","-","0.2","-","-","-","0.2"
"95","Edinburgh, City of","All","100","100","100","100","100","100","100"
"96","Edinburgh, City of","Base","740","700","620","710","700","840","830"
"97","Falkirk","Every day / Several times a week","36.5","35","32.1","27.8","28.3","37.5","42.1"
"98","Falkirk","Once a week","11.2","12.5","15.6","22.3","14.4","13.9","12.1"
"99","Falkirk","Once a month","17.4","27.7","20.6","17.4","25.8","14.1","16.8"
"100","Falkirk","Less often","15.5","10.5","9.8","8.9","13.9","14.8","10.7"
"101","Falkirk","Not at all","19.4","14.4","21.9","23.7","17.6","19.6","17.8"
"102","Falkirk","Don't know","-","-","-","-","-","-","0.4"
"103","Falkirk","All","100","100","100","100","100","100","100"
"104","Falkirk","Base","230","260","260","250","260","220","220"
"105","Fife","Every day / Several times a week","37.9","42.4","40.6","38.4","47.4","39.6","44.2"
"106","Fife","Once a week","15.5","11.7","14","12.6","13.2","17.8","12.9"
