Years,Area name,Frequency of use nearest green space,Percentage
2019,Argyll and Bute,Once a month,11.4
2019,Argyll and Bute,Less often,9.9
2019,Argyll and Bute,Not at all,34.1
2019,Argyll and Bute,Base,220
2023,Argyll and Bute,Every day / Several times a week,50.1
2023,Argyll and Bute,Once a week,9.8
2023,Argyll and Bute,Once a month,10.5
2023,Argyll and Bute,Less often,7.1
2023,Argyll and Bute,Not at all,22
2023,Argyll and Bute,Don't know,0.4
2023,Argyll and Bute,Base,230
2013,Clackmannanshire,Every day / Several times a week,31
2013,Clackmannanshire,Once a week,8.8
2013,Clackmannanshire,Once a month,14.6
2013,Clackmannanshire,Less often,16.5
2013,Clackmannanshire,Not at all,29
2013,Clackmannanshire,Base,280
2014,Clackmannanshire,Every day / Several times a week,45.1
2014,Clackmannanshire,Once a week,10.7
2014,Clackmannanshire,Once a month,15.6
2014,Clackmannanshire,Less often,11.5
2014,Clackmannanshire,Not at all,16.9
2014,Clackmannanshire,Don't know,0.2
2014,Clackmannanshire,Base,250
2015,Clackmannanshire,Every day / Several times a week,42.1
2015,Clackmannanshire,Once a week,11.2
2015,Clackmannanshire,Once a month,12.7
2015,Clackmannanshire,Less often,7.1
2015,Clackmannanshire,Not at all,27
2015,Clackmannanshire,Base,240
2016,Clackmannanshire,Every day / Several times a week,28.6
2016,Clackmannanshire,Once a week,11
2016,Clackmannanshire,Once a month,10.3
2016,Clackmannanshire,Less often,8.2
2016,Clackmannanshire,Not at all,41.9
2016,Clackmannanshire,Base,240
2017,Clackmannanshire,Every day / Several times a week,36.3
2017,Clackmannanshire,Once a week,8.2
2017,Clackmannanshire,Once a month,9.1
2017,Clackmannanshire,Less often,3.2
2017,Clackmannanshire,Not at all,42.1
2017,Clackmannanshire,Don't know,1.1
2017,Clackmannanshire,Base,260
2019,Clackmannanshire,Every day / Several times a week,48
2019,Clackmannanshire,Once a week,13.3
2019,Clackmannanshire,Once a month,11.4
2019,Clackmannanshire,Less often,13.9
2019,Clackmannanshire,Not at all,12.8
2019,Clackmannanshire,Don't know,0.7
2019,Clackmannanshire,Base,210
2023,Clackmannanshire,Every day / Several times a week,45.2
2023,Clackmannanshire,Once a week,13.3
2023,Clackmannanshire,Once a month,9.8
2023,Clackmannanshire,Less often,14.1
2023,Clackmannanshire,Not at all,17.6
2023,Clackmannanshire,Base,230
2013,Dumfries and Galloway,Every day / Several times a week,49.5
2013,Dumfries and Galloway,Once a week,11.2
2013,Dumfries and Galloway,Once a month,8.6
2013,Dumfries and Galloway,Less often,10.2
2013,Dumfries and Galloway,Not at all,20.5
2013,Dumfries and Galloway,Base,230
2014,Dumfries and Galloway,Every day / Several times a week,57.6
2014,Dumfries and Galloway,Once a week,11.6
2014,Dumfries and Galloway,Once a month,8.5
2014,Dumfries and Galloway,Less often,5.9
2014,Dumfries and Galloway,Not at all,16.1
2014,Dumfries and Galloway,Don't know,0.4
2014,Dumfries and Galloway,Base,230
