Years,Area name,Frequency of use nearest green space,Percentage
2014,Inverclyde,Every day / Several times a week,25.5
2014,Inverclyde,Once a week,10
2014,Inverclyde,Once a month,15.5
2014,Inverclyde,Less often,8.9
2014,Inverclyde,Not at all,40.1
2014,Inverclyde,Base,250
2015,Inverclyde,Every day / Several times a week,26.4
2015,Inverclyde,Once a week,12.5
2015,Inverclyde,Once a month,14.8
2015,Inverclyde,Less often,8.9
2015,Inverclyde,Not at all,37.4
2015,Inverclyde,Base,260
2016,Inverclyde,Every day / Several times a week,24.8
2016,Inverclyde,Once a week,14.6
2016,Inverclyde,Once a month,13.9
2016,Inverclyde,Less often,16.3
2016,Inverclyde,Not at all,30.3
2016,Inverclyde,Base,240
2017,Inverclyde,Every day / Several times a week,27.6
2017,Inverclyde,Once a week,10.9
2017,Inverclyde,Once a month,14.2
2017,Inverclyde,Less often,11
2017,Inverclyde,Not at all,36.3
2017,Inverclyde,Base,260
2019,Inverclyde,Every day / Several times a week,26.9
2019,Inverclyde,Once a week,14.5
2019,Inverclyde,Once a month,13.2
2019,Inverclyde,Less often,13.3
2019,Inverclyde,Not at all,32.1
2019,Inverclyde,Base,230
2023,Inverclyde,Every day / Several times a week,47.1
2023,Inverclyde,Once a week,15
2023,Inverclyde,Once a month,8.8
2023,Inverclyde,Less often,12.2
2023,Inverclyde,Not at all,16.8
2023,Inverclyde,Base,230
2013,Midlothian,Every day / Several times a week,34
2013,Midlothian,Once a week,14.9
2013,Midlothian,Once a month,18.4
2013,Midlothian,Less often,9.6
2013,Midlothian,Not at all,23.1
2013,Midlothian,Base,240
2014,Midlothian,Every day / Several times a week,40.3
2014,Midlothian,Once a week,12.1
2014,Midlothian,Once a month,19.6
2014,Midlothian,Less often,6.1
2014,Midlothian,Not at all,21.9
2014,Midlothian,Base,190
2015,Midlothian,Every day / Several times a week,44.2
2015,Midlothian,Once a week,17.1
2015,Midlothian,Once a month,19.5
2015,Midlothian,Less often,5.8
2015,Midlothian,Not at all,13
2015,Midlothian,Don't know,0.5
2015,Midlothian,Base,200
2016,Midlothian,Every day / Several times a week,36.8
2016,Midlothian,Once a week,13.6
2016,Midlothian,Once a month,21.4
2016,Midlothian,Less often,7.9
2016,Midlothian,Not at all,20.3
2016,Midlothian,Base,260
2017,Midlothian,Every day / Several times a week,38.9
2017,Midlothian,Once a week,11.6
2017,Midlothian,Once a month,16.4
2017,Midlothian,Less often,11.1
2017,Midlothian,Not at all,21.8
2017,Midlothian,Don't know,0.2
2017,Midlothian,Base,260
2019,Midlothian,Every day / Several times a week,32.3
2019,Midlothian,Once a week,17.8
2019,Midlothian,Once a month,19.6
2019,Midlothian,Less often,12.1
2019,Midlothian,Not at all,18
2019,Midlothian,Don't know,0.2
2019,Midlothian,Base,280
2023,Midlothian,Every day / Several times a week,52.3
2023,Midlothian,Once a week,12.2
2023,Midlothian,Once a month,7.7
2023,Midlothian,Less often,6.5
2023,Midlothian,Not at all,21.4
2023,Midlothian,Base,230
2013,Moray,Every day / Several times a week,42.2
2013,Moray,Once a week,14
2013,Moray,Once a month,17.7
2013,Moray,Less often,14.8
2013,Moray,Not at all,11.4
2013,Moray,Base,240
2014,Moray,Every day / Several times a week,37.7
2014,Moray,Once a week,15
2014,Moray,Once a month,12
2014,Moray,Less often,11.9
2014,Moray,Not at all,23.5
2014,Moray,Base,250
2015,Moray,Every day / Several times a week,40
2015,Moray,Once a week,11.5
2015,Moray,Once a month,13.6
2015,Moray,Less often,13.7
2015,Moray,Not at all,21.3
2015,Moray,Base,250
2016,Moray,Every day / Several times a week,43.3
2016,Moray,Once a week,9.2
2016,Moray,Once a month,13
2016,Moray,Less often,11.5
2016,Moray,Not at all,22.5
2016,Moray,Don't know,0.5
2016,Moray,Base,240
2017,Moray,Every day / Several times a week,49.8
2017,Moray,Once a week,7.6
2017,Moray,Once a month,10.4
2017,Moray,Less often,11.5
2017,Moray,Not at all,20.7
2017,Moray,Base,220
2019,Moray,Every day / Several times a week,34.3
2019,Moray,Once a week,11.3
2019,Moray,Once a month,14.9
2019,Moray,Less often,8.5
2019,Moray,Not at all,31.1
2019,Moray,Base,220
2023,Moray,Every day / Several times a week,43.6
2023,Moray,Once a week,13.5
2023,Moray,Once a month,13.9
2023,Moray,Less often,10
2023,Moray,Not at all,19
2023,Moray,Base,230
2013,Na h-Eileanan Siar,Every day / Several times a week,48.9
2013,Na h-Eileanan Siar,Once a week,12.4
2013,Na h-Eileanan Siar,Once a month,8.7
2013,Na h-Eileanan Siar,Less often,13
2013,Na h-Eileanan Siar,Not at all,17.1
2013,Na h-Eileanan Siar,Base,270
2014,Na h-Eileanan Siar,Every day / Several times a week,58.3
2014,Na h-Eileanan Siar,Once a week,10.6
2014,Na h-Eileanan Siar,Once a month,7.9
2014,Na h-Eileanan Siar,Less often,12
2014,Na h-Eileanan Siar,Not at all,11.3
2014,Na h-Eileanan Siar,Base,260
2015,Na h-Eileanan Siar,Every day / Several times a week,51.1
2015,Na h-Eileanan Siar,Once a week,9.8
2015,Na h-Eileanan Siar,Once a month,7.5
2015,Na h-Eileanan Siar,Less often,16.9
2015,Na h-Eileanan Siar,Not at all,14.7
2015,Na h-Eileanan Siar,Base,280
2016,Na h-Eileanan Siar,Every day / Several times a week,47.3
2016,Na h-Eileanan Siar,Once a week,8.6
2016,Na h-Eileanan Siar,Once a month,9.9
2016,Na h-Eileanan Siar,Less often,18.1
2016,Na h-Eileanan Siar,Not at all,16.2
2016,Na h-Eileanan Siar,Base,250
2017,Na h-Eileanan Siar,Every day / Several times a week,49.9
2017,Na h-Eileanan Siar,Once a week,10.7
2017,Na h-Eileanan Siar,Once a month,11.8
2017,Na h-Eileanan Siar,Less often,8.6
2017,Na h-Eileanan Siar,Not at all,18.9
2017,Na h-Eileanan Siar,Base,320
2019,Na h-Eileanan Siar,Every day / Several times a week,37.4
2019,Na h-Eileanan Siar,Once a week,13
2019,Na h-Eileanan Siar,Once a month,12
2019,Na h-Eileanan Siar,Less often,17.8
2019,Na h-Eileanan Siar,Not at all,19.8
2019,Na h-Eileanan Siar,Base,280
2023,Na h-Eileanan Siar,Every day / Several times a week,42.7
2023,Na h-Eileanan Siar,Once a week,9.2
2023,Na h-Eileanan Siar,Once a month,15.1
2023,Na h-Eileanan Siar,Less often,8.8
2023,Na h-Eileanan Siar,Not at all,24.1
2023,Na h-Eileanan Siar,Base,260
2013,North Ayrshire,Every day / Several times a week,30.8
2013,North Ayrshire,Once a week,16.8
2013,North Ayrshire,Once a month,16.2
2013,North Ayrshire,Less often,15.8
2013,North Ayrshire,Not at all,20.4
2013,North Ayrshire,Base,240
2014,North Ayrshire,Every day / Several times a week,40.3
2014,North Ayrshire,Once a week,14.8
2014,North Ayrshire,Once a month,11.4
2014,North Ayrshire,Less often,8.5
2014,North Ayrshire,Not at all,24.4
2014,North Ayrshire,Don't know,0.6
2014,North Ayrshire,Base,240
2015,North Ayrshire,Every day / Several times a week,45.9
2015,North Ayrshire,Once a week,11.2
2015,North Ayrshire,Once a month,12.1
2015,North Ayrshire,Less often,8.2
2015,North Ayrshire,Not at all,22.6
2015,North Ayrshire,Base,240
2016,North Ayrshire,Every day / Several times a week,33
2016,North Ayrshire,Once a week,11
2016,North Ayrshire,Once a month,13.6
2016,North Ayrshire,Less often,17.3
2016,North Ayrshire,Not at all,25.1
2016,North Ayrshire,Base,250
2017,North Ayrshire,Every day / Several times a week,34.5
2017,North Ayrshire,Once a week,10.6
2017,North Ayrshire,Once a month,10.8
2017,North Ayrshire,Less often,14.1
2017,North Ayrshire,Not at all,28.7
2017,North Ayrshire,Don't know,1.3
2017,North Ayrshire,Base,210
2019,North Ayrshire,Every day / Several times a week,39.8
2019,North Ayrshire,Once a week,11.5
2019,North Ayrshire,Once a month,16.7
2019,North Ayrshire,Less often,8.8
2019,North Ayrshire,Not at all,22.5
2019,North Ayrshire,Don't know,0.7
2019,North Ayrshire,Base,230
2023,North Ayrshire,Every day / Several times a week,48.2
2023,North Ayrshire,Once a week,12.2
2023,North Ayrshire,Once a month,9.6
2023,North Ayrshire,Less often,6.2
2023,North Ayrshire,Not at all,23.8
2023,North Ayrshire,Base,230
2013,North Lanarkshire,Every day / Several times a week,26.1
2013,North Lanarkshire,Once a week,10.3
2013,North Lanarkshire,Once a month,13.1
2013,North Lanarkshire,Less often,18.1
2013,North Lanarkshire,Not at all,32.4
2013,North Lanarkshire,Base,420
2014,North Lanarkshire,Every day / Several times a week,26.7
2014,North Lanarkshire,Once a week,11.7
2014,North Lanarkshire,Once a month,12.5
2014,North Lanarkshire,Less often,11.1
2014,North Lanarkshire,Not at all,38.1
2014,North Lanarkshire,Base,450
2015,North Lanarkshire,Every day / Several times a week,24.9
2015,North Lanarkshire,Once a week,10.5
2015,North Lanarkshire,Once a month,14.9
2015,North Lanarkshire,Less often,14.1
2015,North Lanarkshire,Not at all,35.7
2015,North Lanarkshire,Base,400
2016,North Lanarkshire,Every day / Several times a week,31.2
2016,North Lanarkshire,Once a week,6.8
2016,North Lanarkshire,Once a month,11.7
2016,North Lanarkshire,Less often,17.2
2016,North Lanarkshire,Not at all,32.9
2016,North Lanarkshire,Don't know,0.2
2016,North Lanarkshire,Base,430
2017,North Lanarkshire,Every day / Several times a week,26.5
2017,North Lanarkshire,Once a week,13.8
2017,North Lanarkshire,Once a month,17.3
2017,North Lanarkshire,Less often,13.5
2017,North Lanarkshire,Not at all,29
2017,North Lanarkshire,Base,410
2019,North Lanarkshire,Every day / Several times a week,23.5
2019,North Lanarkshire,Once a week,9.6
2019,North Lanarkshire,Once a month,16.2
2019,North Lanarkshire,Less often,16.4
2019,North Lanarkshire,Not at all,33.9
2019,North Lanarkshire,Don't know,0.4
2019,North Lanarkshire,Base,450
2023,North Lanarkshire,Every day / Several times a week,30.4
2023,North Lanarkshire,Once a week,10.5
2023,North Lanarkshire,Once a month,17.7
2023,North Lanarkshire,Less often,15.4
2023,North Lanarkshire,Not at all,25.3
2023,North Lanarkshire,Don't know,0.8
2023,North Lanarkshire,Base,460
2013,Orkney Islands,Every day / Several times a week,56.7
2013,Orkney Islands,Once a week,12.4
2013,Orkney Islands,Once a month,3.8
2013,Orkney Islands,Less often,6.7
2013,Orkney Islands,Not at all,20
2013,Orkney Islands,Don't know,0.3
2013,Orkney Islands,Base,280
2014,Orkney Islands,Every day / Several times a week,56.6
2014,Orkney Islands,Once a week,14.6
2014,Orkney Islands,Once a month,7.9
2014,Orkney Islands,Less often,2.1
2014,Orkney Islands,Not at all,18.8
2014,Orkney Islands,Base,270
2015,Orkney Islands,Every day / Several times a week,46
2015,Orkney Islands,Once a week,13.2
2015,Orkney Islands,Once a month,8.1
2015,Orkney Islands,Less often,11.1
2015,Orkney Islands,Not at all,21.1
2015,Orkney Islands,Don't know,0.5
2015,Orkney Islands,Base,280
2016,Orkney Islands,Every day / Several times a week,37.9
2016,Orkney Islands,Once a week,7.8
2016,Orkney Islands,Once a month,8.8
2016,Orkney Islands,Less often,13.5
2016,Orkney Islands,Not at all,31.4
2016,Orkney Islands,Don't know,0.6
2016,Orkney Islands,Base,230
2017,Orkney Islands,Every day / Several times a week,36.6
2017,Orkney Islands,Once a week,10.5
2017,Orkney Islands,Once a month,14.8
2017,Orkney Islands,Less often,13.6
2017,Orkney Islands,Not at all,24.4
2017,Orkney Islands,Base,240
2019,Orkney Islands,Every day / Several times a week,28.1
2019,Orkney Islands,Once a week,9.9
2019,Orkney Islands,Once a month,9.2
2019,Orkney Islands,Less often,12.4
2019,Orkney Islands,Not at all,40.2
2019,Orkney Islands,Don't know,0.2
2019,Orkney Islands,Base,250
2023,Orkney Islands,Every day / Several times a week,55.6
2023,Orkney Islands,Once a week,10.3
2023,Orkney Islands,Once a month,13
2023,Orkney Islands,Less often,7
2023,Orkney Islands,Not at all,14.2
2023,Orkney Islands,Base,260
2013,Perth and Kinross,Every day / Several times a week,38.9
2013,Perth and Kinross,Once a week,11.6
2013,Perth and Kinross,Once a month,26.5
2013,Perth and Kinross,Less often,11.2
2013,Perth and Kinross,Not at all,11.8
2013,Perth and Kinross,Base,260
2014,Perth and Kinross,Every day / Several times a week,34.9
2014,Perth and Kinross,Once a week,18.5
2014,Perth and Kinross,Once a month,21.8
2014,Perth and Kinross,Less often,12.5
2014,Perth and Kinross,Not at all,12.4
2014,Perth and Kinross,Base,250
2015,Perth and Kinross,Every day / Several times a week,38.5
2015,Perth and Kinross,Once a week,13.5
2015,Perth and Kinross,Once a month,18
2015,Perth and Kinross,Less often,9.5
2015,Perth and Kinross,Not at all,20.5
2015,Perth and Kinross,Base,240
2016,Perth and Kinross,Every day / Several times a week,46
2016,Perth and Kinross,Once a week,12.9
2016,Perth and Kinross,Once a month,16.3
2016,Perth and Kinross,Less often,5
2016,Perth and Kinross,Not at all,19.9
2016,Perth and Kinross,Base,220
2017,Perth and Kinross,Every day / Several times a week,47.2
2017,Perth and Kinross,Once a week,13.5
2017,Perth and Kinross,Once a month,13
2017,Perth and Kinross,Less often,6.7
2017,Perth and Kinross,Not at all,19.6
2017,Perth and Kinross,Base,240
2019,Perth and Kinross,Every day / Several times a week,41.5
2019,Perth and Kinross,Once a week,12.9
2019,Perth and Kinross,Once a month,17.2
2019,Perth and Kinross,Less often,14
2019,Perth and Kinross,Not at all,14.4
2019,Perth and Kinross,Base,200
2023,Perth and Kinross,Every day / Several times a week,69.3
2023,Perth and Kinross,Once a week,8.5
2023,Perth and Kinross,Once a month,7.2
2023,Perth and Kinross,Less often,7.9
2023,Perth and Kinross,Not at all,7.1
2023,Perth and Kinross,Base,250
2013,Renfrewshire,Every day / Several times a week,32.8
2013,Renfrewshire,Once a week,11.8
2013,Renfrewshire,Once a month,14.3
2013,Renfrewshire,Less often,7.6
2013,Renfrewshire,Not at all,33.5
2013,Renfrewshire,Base,260
2014,Renfrewshire,Every day / Several times a week,24.9
2014,Renfrewshire,Once a week,13.1
2014,Renfrewshire,Once a month,13
2014,Renfrewshire,Less often,21.7
2014,Renfrewshire,Not at all,27.1
2014,Renfrewshire,Don't know,0.2
2014,Renfrewshire,Base,240
2015,Renfrewshire,Every day / Several times a week,23.5
2015,Renfrewshire,Once a week,12
2015,Renfrewshire,Once a month,16.3
2015,Renfrewshire,Less often,16.1
2015,Renfrewshire,Not at all,32.1
2015,Renfrewshire,Base,280
2016,Renfrewshire,Every day / Several times a week,26.7
2016,Renfrewshire,Once a week,8.3
2016,Renfrewshire,Once a month,17.7
2016,Renfrewshire,Less often,16
2016,Renfrewshire,Not at all,31.2
2016,Renfrewshire,Base,260
2017,Renfrewshire,Every day / Several times a week,25.4
2017,Renfrewshire,Once a week,16.8
2017,Renfrewshire,Once a month,14.4
2017,Renfrewshire,Less often,16.1
2017,Renfrewshire,Not at all,27.4
2017,Renfrewshire,Base,220
2019,Renfrewshire,Every day / Several times a week,23.7
2019,Renfrewshire,Once a week,9.1
2019,Renfrewshire,Once a month,18.9
2019,Renfrewshire,Less often,16.6
2019,Renfrewshire,Not at all,30.5
2019,Renfrewshire,Don't know,1.2
2019,Renfrewshire,Base,240
2023,Renfrewshire,Every day / Several times a week,39.5
2023,Renfrewshire,Once a week,17.6
2023,Renfrewshire,Once a month,12.9
2023,Renfrewshire,Less often,10.6
2023,Renfrewshire,Not at all,19
2023,Renfrewshire,Don't know,0.3
2023,Renfrewshire,Base,270
2013,Scotland,Every day / Several times a week,36.1
2013,Scotland,Once a week,12.9
2013,Scotland,Once a month,15.1
2013,Scotland,Less often,12
2013,Scotland,Not at all,23.7
2013,Scotland,Don't know,0.1
2013,Scotland,Base,9760
2014,Scotland,Every day / Several times a week,37.3
2014,Scotland,Once a week,12.5
2014,Scotland,Once a month,15.2
2014,Scotland,Less often,10.9
2014,Scotland,Not at all,24
2014,Scotland,Don't know,0.2
2014,Scotland,Base,9650
2015,Scotland,Every day / Several times a week,35.9
2015,Scotland,Once a week,13.7
2015,Scotland,Once a month,15.2
2015,Scotland,Less often,11.8
2015,Scotland,Not at all,23.3
2015,Scotland,Don't know,0.1
2015,Scotland,Base,9300
2016,Scotland,Every day / Several times a week,36
2016,Scotland,Once a week,12.8
2016,Scotland,Once a month,16.4
2016,Scotland,Less often,11.4
2016,Scotland,Not at all,23.3
2016,Scotland,Don't know,0.1
2016,Scotland,Base,9490
2017,Scotland,Every day / Several times a week,36.8
2017,Scotland,Once a week,12.6
2017,Scotland,Once a month,15.8
2017,Scotland,Less often,11.5
2017,Scotland,Not at all,23.1
2017,Scotland,Don't know,0.1
2017,Scotland,Base,9660
2019,Scotland,Every day / Several times a week,36
2019,Scotland,Once a week,12.5
2019,Scotland,Once a month,16.2
2019,Scotland,Less often,13.6
2019,Scotland,Not at all,21.5
2019,Scotland,Don't know,0.2
2019,Scotland,Base,9580
2023,Scotland,Every day / Several times a week,44
2023,Scotland,Once a week,12.6
2023,Scotland,Once a month,13.9
2023,Scotland,Less often,10.6
2023,Scotland,Not at all,18.6
2023,Scotland,Don't know,0.2
2023,Scotland,Base,9560
2013,Scottish Borders,Every day / Several times a week,49.2
2013,Scottish Borders,Once a week,14.5
2013,Scottish Borders,Once a month,13
2013,Scottish Borders,Less often,8.7
2013,Scottish Borders,Not at all,14.4
2013,Scottish Borders,Don't know,0.2
2013,Scottish Borders,Base,250
2014,Scottish Borders,Every day / Several times a week,51.7
2014,Scottish Borders,Once a week,14.1
2014,Scottish Borders,Once a month,11.1
2014,Scottish Borders,Less often,9.9
2014,Scottish Borders,Not at all,12.8
2014,Scottish Borders,Don't know,0.4
2014,Scottish Borders,Base,250
2015,Scottish Borders,Every day / Several times a week,46.7
2015,Scottish Borders,Once a week,11.4
2015,Scottish Borders,Once a month,16.7
2015,Scottish Borders,Less often,9.7
2015,Scottish Borders,Not at all,15.6
2015,Scottish Borders,Base,210
2016,Scottish Borders,Every day / Several times a week,49.6
2016,Scottish Borders,Once a week,13.7
2016,Scottish Borders,Once a month,13.1
2016,Scottish Borders,Less often,8.5
2016,Scottish Borders,Not at all,14.4
2016,Scottish Borders,Don't know,0.6
2016,Scottish Borders,Base,230
2017,Scottish Borders,Every day / Several times a week,39.7
2017,Scottish Borders,Once a week,14.2
2017,Scottish Borders,Once a month,9.1
2017,Scottish Borders,Less often,10
2017,Scottish Borders,Not at all,26.7
2017,Scottish Borders,Don't know,0.2
2017,Scottish Borders,Base,210
2019,Scottish Borders,Every day / Several times a week,55.5
2019,Scottish Borders,Once a week,13.1
2019,Scottish Borders,Once a month,11.2
2019,Scottish Borders,Less often,8
2019,Scottish Borders,Not at all,12.2
2019,Scottish Borders,Base,240
2023,Scottish Borders,Every day / Several times a week,62.9
2023,Scottish Borders,Once a week,7
2023,Scottish Borders,Once a month,10.5
2023,Scottish Borders,Less often,12
2023,Scottish Borders,Not at all,7.2
2023,Scottish Borders,Don't know,0.3
2023,Scottish Borders,Base,220
2013,Shetland Islands,Every day / Several times a week,45.2
2013,Shetland Islands,Once a week,16.6
2013,Shetland Islands,Once a month,11.7
2013,Shetland Islands,Less often,12.7
2013,Shetland Islands,Not at all,13.3
2013,Shetland Islands,Don't know,0.5
2013,Shetland Islands,Base,260
2014,Shetland Islands,Every day / Several times a week,46
2014,Shetland Islands,Once a week,12.3
2014,Shetland Islands,Once a month,11
2014,Shetland Islands,Less often,11
2014,Shetland Islands,Not at all,19.6
2014,Shetland Islands,Don't know,0.2
2014,Shetland Islands,Base,260
2015,Shetland Islands,Every day / Several times a week,48.4
2015,Shetland Islands,Once a week,5.3
2015,Shetland Islands,Once a month,11.6
2015,Shetland Islands,Less often,13.6
2015,Shetland Islands,Not at all,21.1
2015,Shetland Islands,Base,230
2016,Shetland Islands,Every day / Several times a week,51.7
2016,Shetland Islands,Once a week,10.7
2016,Shetland Islands,Once a month,15.1
2016,Shetland Islands,Less often,9.3
2016,Shetland Islands,Not at all,13.1
2016,Shetland Islands,Don't know,0.2
2016,Shetland Islands,Base,260
2017,Shetland Islands,Every day / Several times a week,58.9
2017,Shetland Islands,Once a week,11.5
2017,Shetland Islands,Once a month,11.6
2017,Shetland Islands,Less often,4.5
2017,Shetland Islands,Not at all,13.1
2017,Shetland Islands,Don't know,0.5
2017,Shetland Islands,Base,250
2019,Shetland Islands,Every day / Several times a week,51.9
2019,Shetland Islands,Once a week,16.4
2019,Shetland Islands,Once a month,12.2
2019,Shetland Islands,Less often,9.6
2019,Shetland Islands,Not at all,9.9
2019,Shetland Islands,Base,210
2023,Shetland Islands,Every day / Several times a week,68
2023,Shetland Islands,Once a week,8.3
2023,Shetland Islands,Once a month,7.6
2023,Shetland Islands,Less often,7.4
2023,Shetland Islands,Not at all,8.8
2023,Shetland Islands,Base,250
2013,South Ayrshire,Every day / Several times a week,40.4
2013,South Ayrshire,Once a week,9
2013,South Ayrshire,Once a month,16.1
2013,South Ayrshire,Less often,9.7
2013,South Ayrshire,Not at all,24.9
2013,South Ayrshire,Base,250
2014,South Ayrshire,Every day / Several times a week,46.3
2014,South Ayrshire,Once a week,11.8
2014,South Ayrshire,Once a month,7.6
2014,South Ayrshire,Less often,9.7
2014,South Ayrshire,Not at all,24.5
2014,South Ayrshire,Base,250
2015,South Ayrshire,Every day / Several times a week,45.3
2015,South Ayrshire,Once a week,12.7
2015,South Ayrshire,Once a month,12.7
2015,South Ayrshire,Less often,6.9
2015,South Ayrshire,Not at all,21.9
2015,South Ayrshire,Don't know,0.4
2015,South Ayrshire,Base,270
2016,South Ayrshire,Every day / Several times a week,44.4
2016,South Ayrshire,Once a week,10.2
2016,South Ayrshire,Once a month,13.3
2016,South Ayrshire,Less often,7.5
2016,South Ayrshire,Not at all,24.7
2016,South Ayrshire,Base,250
2017,South Ayrshire,Every day / Several times a week,41.1
2017,South Ayrshire,Once a week,16.2
2017,South Ayrshire,Once a month,8.3
2017,South Ayrshire,Less often,6.8
2017,South Ayrshire,Not at all,27.5
2017,South Ayrshire,Base,260
2019,South Ayrshire,Every day / Several times a week,41.3
2019,South Ayrshire,Once a week,12.9
2019,South Ayrshire,Once a month,15.4
2019,South Ayrshire,Less often,10.9
2019,South Ayrshire,Not at all,19.5
2019,South Ayrshire,Base,250
2023,South Ayrshire,Every day / Several times a week,54.2
2023,South Ayrshire,Once a week,13.1
2023,South Ayrshire,Once a month,6.7
2023,South Ayrshire,Less often,8.3
2023,South Ayrshire,Not at all,17.7
2023,South Ayrshire,Base,210
2013,South Lanarkshire,Every day / Several times a week,29.2
2013,South Lanarkshire,Once a week,13
2013,South Lanarkshire,Once a month,12.8
2013,South Lanarkshire,Less often,10.9
2013,South Lanarkshire,Not at all,33.6
2013,South Lanarkshire,Don't know,0.5
2013,South Lanarkshire,Base,410
2014,South Lanarkshire,Every day / Several times a week,29.8
2014,South Lanarkshire,Once a week,10.2
2014,South Lanarkshire,Once a month,15
2014,South Lanarkshire,Less often,10.6
2014,South Lanarkshire,Not at all,34
2014,South Lanarkshire,Don't know,0.4
2014,South Lanarkshire,Base,400
2015,South Lanarkshire,Every day / Several times a week,29.1
2015,South Lanarkshire,Once a week,11
2015,South Lanarkshire,Once a month,12.6
2015,South Lanarkshire,Less often,14.9
2015,South Lanarkshire,Not at all,32.1
2015,South Lanarkshire,Don't know,0.3
2015,South Lanarkshire,Base,380
2016,South Lanarkshire,Every day / Several times a week,28.5
2016,South Lanarkshire,Once a week,9.6
2016,South Lanarkshire,Once a month,19.1
2016,South Lanarkshire,Less often,16.3
2016,South Lanarkshire,Not at all,26.1
2016,South Lanarkshire,Don't know,0.4
2016,South Lanarkshire,Base,390
2017,South Lanarkshire,Every day / Several times a week,23.3
2017,South Lanarkshire,Once a week,13
2017,South Lanarkshire,Once a month,16.8
2017,South Lanarkshire,Less often,12.9
2017,South Lanarkshire,Not at all,33.6
2017,South Lanarkshire,Don't know,0.3
2017,South Lanarkshire,Base,420
2019,South Lanarkshire,Every day / Several times a week,29.9
2019,South Lanarkshire,Once a week,8.4
2019,South Lanarkshire,Once a month,15.4
2019,South Lanarkshire,Less often,15.4
2019,South Lanarkshire,Not at all,30.3
2019,South Lanarkshire,Don't know,0.6
2019,South Lanarkshire,Base,410
2023,South Lanarkshire,Every day / Several times a week,39.5
2023,South Lanarkshire,Once a week,11.7
2023,South Lanarkshire,Once a month,13.9
2023,South Lanarkshire,Less often,12.9
2023,South Lanarkshire,Not at all,21.6
2023,South Lanarkshire,Don't know,0.4
2023,South Lanarkshire,Base,450
2013,Stirling,Every day / Several times a week,46.2
2013,Stirling,Once a week,18.1
2013,Stirling,Once a month,14.4
2013,Stirling,Less often,14.5
2013,Stirling,Not at all,6.5
2013,Stirling,Don't know,0.3
2013,Stirling,Base,240
2014,Stirling,Every day / Several times a week,60
2014,Stirling,Once a week,14.5
2014,Stirling,Once a month,11.4
2014,Stirling,Less often,6.2
2014,Stirling,Not at all,7.5
2014,Stirling,Don't know,0.4
2014,Stirling,Base,250
2015,Stirling,Every day / Several times a week,48.1
2015,Stirling,Once a week,13.7
2015,Stirling,Once a month,14.6
2015,Stirling,Less often,9.9
2015,Stirling,Not at all,13.4
2015,Stirling,Don't know,0.3
2015,Stirling,Base,240
2016,Stirling,Every day / Several times a week,38.9
2016,Stirling,Once a week,12.2
2016,Stirling,Once a month,14.4
2016,Stirling,Less often,2.5
2016,Stirling,Not at all,30.7
2016,Stirling,Don't know,1.4
2016,Stirling,Base,260
2017,Stirling,Every day / Several times a week,41.2
2017,Stirling,Once a week,8.3
2017,Stirling,Once a month,11.5
2017,Stirling,Less often,6.7
2017,Stirling,Not at all,32.4
2017,Stirling,Base,280
2019,Stirling,Every day / Several times a week,54
2019,Stirling,Once a week,12.2
2019,Stirling,Once a month,13.1
2019,Stirling,Less often,12.8
2019,Stirling,Not at all,8
2019,Stirling,Base,210
2023,Stirling,Every day / Several times a week,59.5
2023,Stirling,Once a week,15.5
2023,Stirling,Once a month,8.9
2023,Stirling,Less often,5.3
2023,Stirling,Not at all,10.2
2023,Stirling,Don't know,0.6
2023,Stirling,Base,230
2013,West Dunbartonshire,Every day / Several times a week,24.8
2013,West Dunbartonshire,Once a week,15.7
2013,West Dunbartonshire,Once a month,14.9
2013,West Dunbartonshire,Less often,12.6
2013,West Dunbartonshire,Not at all,31.8
2013,West Dunbartonshire,Don't know,0.4
2013,West Dunbartonshire,Base,250
2014,West Dunbartonshire,Every day / Several times a week,24.7
2014,West Dunbartonshire,Once a week,7.7
2014,West Dunbartonshire,Once a month,17.4
2014,West Dunbartonshire,Less often,11.7
2014,West Dunbartonshire,Not at all,38.3
2014,West Dunbartonshire,Don't know,0.2
2014,West Dunbartonshire,Base,270
2015,West Dunbartonshire,Every day / Several times a week,30.5
2015,West Dunbartonshire,Once a week,5.9
2015,West Dunbartonshire,Once a month,15.6
2015,West Dunbartonshire,Less often,10.6
2015,West Dunbartonshire,Not at all,37.4
2015,West Dunbartonshire,Base,230
2016,West Dunbartonshire,Every day / Several times a week,20.6
2016,West Dunbartonshire,Once a week,11.4
2016,West Dunbartonshire,Once a month,16.2
2016,West Dunbartonshire,Less often,11.3
2016,West Dunbartonshire,Not at all,40.1
2016,West Dunbartonshire,Don't know,0.4
2016,West Dunbartonshire,Base,270
2017,West Dunbartonshire,Every day / Several times a week,26.4
2017,West Dunbartonshire,Once a week,12.2
2017,West Dunbartonshire,Once a month,15.8
2017,West Dunbartonshire,Less often,11.5
2017,West Dunbartonshire,Not at all,34.1
2017,West Dunbartonshire,Base,240
2019,West Dunbartonshire,Every day / Several times a week,26.1
2019,West Dunbartonshire,Once a week,11.6
2019,West Dunbartonshire,Once a month,14.6
2019,West Dunbartonshire,Less often,17.2
2019,West Dunbartonshire,Not at all,30.4
2019,West Dunbartonshire,Don't know,0.2
2019,West Dunbartonshire,Base,220
2023,West Dunbartonshire,Every day / Several times a week,37.1
